Loc,x,y
Ajmer,26.27,74.42
Alwar,27.34,76.38
Anupgarh,29.07,73.06
Balotra,25.49,72.21
Banswara,23.3,74.24
Baran,25.05,76.33
Barmer,25.45,71.25
Bharatpur,27.15,77.3
Bhilwara,25.21,74.4
Bikaner,28.01,73.22
Bundi,25.27,75.41
Chittorgarh,24.54,74.42
Churu,28.19,75.01
Dausa,26.89,76.33
Deeg,27.47,77.32
Dholpur,26.42,77.53
Didwana Kuchaman,27.17,74.25
Dudu,26.68,75.23
Dungarpur,23.5,73.5
Gangapur,26.29,75.46
Hanumangarh,29.35,74.21
Jaipur,26.55,75.52
Jaisalmer,26.55,70.57
Jalore,25.52,72.58
Jhalawar,24.59,76.16
Jhunjhunu,28.06,75.2
Jodhpur,26.18,73.04
Karauli,26.3,77.04
Kekri,25.56,75.2
Khairthal Tijara,27.8,76.64
Kota,25.1,75.52
Neem ka Thana,27.73,75.77
Pali,25.46,73.25
Phalodi,27.09,72.24
Pratapgarh,24.03,74.77
Rajsamand,25.05,73.88
Sawai Madhopur,26.01,76.35
Shahpura,25.4,75.01
Sikar,27.36,75.15
Sirohi,24.88,72.85
Sri Ganganagar,29.9,73.88
Tonk,26.11,75.5
Udaipur,27.42,75.33